customer_id,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,ticket_count_90d,segment_name
CUST00001,107,1,362.73,0.0,0.23,0,Loyal Customers
CUST00002,40,1,581.0,0.0,0.23,1,Loyal Customers
CUST00003,171,1,649.98,0.0,0.47,0,Dormant Customers
CUST00004,131,1,1604.04,0.0,0.16,0,Loyal Customers
CUST00005,38,3,1781.9,0.0,0.48,0,Discount-Sensitive Customers
CUST00006,51,4,2989.58,0.25,0.38,2,Discount-Sensitive Customers
CUST00007,3,1,719.33,0.0,0.18,0,Loyal Customers
CUST00008,47,3,2449.11,0.0,0.21666666666666667,0,Loyal Customers
CUST00009,31,1,376.85,0.0,0.49,0,Discount-Sensitive Customers
CUST00010,9,1,636.8,0.0,0.45,0,Discount-Sensitive Customers
CUST00011,1,1,508.08,0.0,0.14,0,Loyal Customers
CUST00012,50,1,978.88,0.0,0.31,0,Loyal Customers
CUST00013,61,3,1754.44,0.0,0.23,0,Loyal Customers
CUST00014,51,2,1382.3899999999999,0.0,0.14500000000000002,0,Loyal Customers
CUST00015,35,2,1523.1399999999999,0.0,0.28500000000000003,0,Loyal Customers
CUST00016,215,0,0.0,0.0,0.0,0,Dormant Customers
CUST00017,286,0,0.0,0.0,0.0,0,Dormant Customers
CUST00018,111,1,329.21,0.0,0.36,0,Discount-Sensitive Customers
CUST00019,9,2,1598.93,0.0,0.105,0,Loyal Customers
CUST00020,368,0,0.0,0.0,0.0,0,Dormant Customers
CUST00021,77,2,1059.3,0.0,0.435,1,Discount-Sensitive Customers
CUST00022,29,1,454.06,0.0,0.31,0,Loyal Customers
CUST00023,21,1,400.98,0.0,0.25,0,Loyal Customers
CUST00024,4,1,481.35,0.0,0.34,0,Loyal Customers
CUST00025,165,1,517.97,0.0,0.38,0,Dormant Customers
CUST00026,72,3,3561.3900000000003,0.3333333333333333,0.16333333333333333,1,Loyal Customers
CUST00027,70,1,2128.34,1.0,0.3,1,Loyal Customers
CUST00028,83,1,641.83,0.0,0.11,0,Loyal Customers
CUST00029,18,3,1382.04,0.0,0.19999999999999998,0,Loyal Customers
CUST00030,5,5,2819.98,0.0,0.362,2,Discount-Sensitive Customers
CUST00031,49,1,672.95,0.0,0.24,0,Loyal Customers
CUST00032,33,1,694.18,0.0,0.32,0,Loyal Customers
CUST00033,12,3,1877.69,0.3333333333333333,0.4033333333333333,1,Discount-Sensitive Customers
CUST00034,50,2,1460.21,0.0,0.185,1,Loyal Customers
CUST00035,127,1,779.74,0.0,0.12,0,Loyal Customers
CUST00036,27,4,1737.33,0.25,0.365,1,Discount-Sensitive Customers
CUST00037,102,1,435.83,0.0,0.43,0,Discount-Sensitive Customers
CUST00038,51,3,1955.6100000000001,0.0,0.31666666666666665,1,Loyal Customers
CUST00039,15,2,1173.55,0.0,0.21000000000000002,0,Loyal Customers
